Sigla Paí­s,Nome País,Nivel de Renda,Capital do Paí­s
ASM,American Samoa,High income,Pago Pago
AUS,Australia,High income,Canberra
BRN,Brunei Darussalam,High income,Bandar Seri Begawan
GUM,Guam,High income,Agana
"HKG,""Hong Kong SAR, China"",High income,"
JPN,Japan,High income,Tokyo
"KOR,""Korea, Rep."",High income,Seoul"
"MAC,""Macao SAR, China"",High income,"
MNP,Northern Mariana Islands,High income,Saipan
NCL,New Caledonia,High income,Noum'ea
NRU,Nauru,High income,Yaren District
NZL,New Zealand,High income,Wellington
PLW,Palau,High income,Koror
PYF,French Polynesia,High income,Papeete
SGP,Singapore,High income,Singapore
"PRK,""Korea, Dem. People's Rep."",Low income,Pyongyang"
"FSM,""Micronesia, Fed. Sts."",Lower middle income,Palikir"
KHM,Cambodia,Lower middle income,Phnom Penh
KIR,Kiribati,Lower middle income,Tarawa
LAO,Lao PDR,Lower middle income,Vientiane
MMR,Myanmar,Lower middle income,Naypyidaw
PHL,Philippines,Lower middle income,Manila
PNG,Papua New Guinea,Lower middle income,Port Moresby
SLB,Solomon Islands,Lower middle income,Honiara
TLS,Timor-Leste,Lower middle income,Dili
VNM,Viet Nam,Lower middle income,Hanoi
VUT,Vanuatu,Lower middle income,Port-Vila
WSM,Samoa,Lower middle income,Apia
CHN,China,Upper middle income,Beijing
FJI,Fiji,Upper middle income,Suva
IDN,Indonesia,Upper middle income,Jakarta
MHL,Marshall Islands,Upper middle income,Majuro
MNG,Mongolia,Upper middle income,Ulaanbaatar
MYS,Malaysia,Upper middle income,Kuala Lumpur
THA,Thailand,Upper middle income,Bangkok
TON,Tonga,Upper middle income,Nuku'alofa
TUV,Tuvalu,Upper middle income,Funafuti
AND,Andorra,High income,Andorra la Vella
AUT,Austria,High income,Vienna
BEL,Belgium,High income,Brussels
BGR,Bulgaria,High income,Sofia
CHE,Switzerland,High income,Bern
CHI,Channel Islands,High income,
CYP,Cyprus,High income,Nicosia
CZE,Czechia,High income,Prague
DEU,Germany,High income,Berlin
DNK,Denmark,High income,Copenhagen
ESP,Spain,High income,Madrid
EST,Estonia,High income,Tallinn
FIN,Finland,High income,Helsinki
FRA,France,High income,Paris
FRO,Faroe Islands,High income,Torshavn
GBR,United Kingdom,High income,London
GIB,Gibraltar,High income,
GRC,Greece,High income,Athens
GRL,Greenland,High income,Nuuk
HRV,Croatia,High income,Zagreb
HUN,Hungary,High income,Budapest
IMN,Isle of Man,High income,Douglas
IRL,Ireland,High income,Dublin
ISL,Iceland,High income,Reykjavik
ITA,Italy,High income,Rome
LIE,Liechtenstein,High income,Vaduz
LTU,Lithuania,High income,Vilnius
LUX,Luxembourg,High income,Luxembourg
LVA,Latvia,High income,Riga
