Sigla País,Nome País,Ano,Pessoas com Internet %,Pessoas sem Internet %,PIB per capita,Crescimento do mercado
ARG,Argentina,1990,0.0,100.0,4315.33329358672,1162.369
ARG,Argentina,1992,0.00299,99.99701,6789.99611136495,65.06934
ARG,Argentina,1993,0.0295,99.9705,6931.85596375876,-30.31272
ARG,Argentina,1994,0.0437,99.9563,7437.56242327594,32.20212
ARG,Argentina,1995,0.0863,99.9137,7357.6162773788,-26.72252
ARG,Argentina,1996,0.142,99.858,7663.21271287469,32.6065
ARG,Argentina,1997,0.28,99.72,8146.78710021431,33.83974
ARG,Argentina,1998,0.831,99.169,8218.99212764682,-25.89533
ARG,Argentina,1999,3.28,96.72,7705.54288252851,-12.27962
ARG,Argentina,2000,7.04,92.96,7637.01489203628,3.071263
ARG,Argentina,2001,9.78,90.22,7141.47507662826,-27.08032
ARG,Argentina,2002,10.9,89.1,2569.69963519124,8.816881
ARG,Argentina,2003,11.9,88.1,3320.47775133903,83.91576
ARG,Argentina,2004,16.0,84.0,4242.02099089422,50.89866
ARG,Argentina,2005,17.7,82.3,5067.65342293276,34.85443
ARG,Argentina,2006,20.9,79.1,5869.38028970204,17.106
ARG,Argentina,2007,25.9,74.1,7185.25155147027,23.34016
ARG,Argentina,2008,28.1,71.9,8944.1102657357,-18.05187
ARG,Argentina,2009,34.0,66.0,8150.23527028221,-7.812902
ARG,Argentina,2010,45.0,55.0,10260.1313108254,56.63403
ARG,Argentina,2011,51.0,49.0,12704.2831819684,21.51364
ARG,Argentina,2012,55.8,44.2,12949.717486654,-19.509
ARG,Argentina,2013,59.9,40.1,12963.675773326,59.63185
ARG,Argentina,2014,64.7,35.3,12233.1444119186,102.5771
ARG,Argentina,2015,68.0,32.0,13679.6264980954,37.50489
ARG,Argentina,2016,71.0,29.0,12699.9623137756,30.31837
ARG,Argentina,2017,74.3,25.700000000000003,14532.5009308511,57.0715
ARG,Argentina,2018,77.7,22.299999999999997,11752.7998922979,33.51541
ARG,Argentina,2019,79.9,20.099999999999994,9955.97478680428,13.5041
ARG,Argentina,2020,85.5,14.5,8535.59938004389,22.83499
ARG,Argentina,2021,87.2,12.799999999999997,10738.0179223384,54.64248
AUS,Australia,1990,0.585,99.415,18249.3014538169,-5.865952
AUS,Australia,1991,1.1,98.9,18859.9074576986,1.48921
AUS,Australia,1992,1.77,98.23,18624.1877335866,3.524753
AUS,Australia,1993,1.97,98.03,17699.8764915704,15.59336
AUS,Australia,1994,2.23,97.77,18129.6353064456,13.89216
AUS,Australia,1995,2.76,97.24,20448.1219685874,-1.327829
AUS,Australia,1996,3.28,96.72,22021.7839065228,11.58374
AUS,Australia,1997,16.4,83.6,23646.6230457327,12.36025
AUS,Australia,1998,30.8,69.2,21479.1142020092,4.680654
AUS,Australia,1999,40.8,59.2,20712.6697805564,11.38452
AUS,Australia,2000,46.8,53.2,21870.4159669594,6.710157
AUS,Australia,2001,52.7,47.3,19695.7297379144,2.054918
AUS,Australia,2005,63.0,37.0,34479.7679298388,20.32981
AUS,Australia,2006,66.0,34.0,36595.7071548423,18.71448
AUS,Australia,2007,69.5,30.5,41051.6120652288,22.44602
AUS,Australia,2008,71.7,28.299999999999997,49701.2817843335,-19.04465
AUS,Australia,2009,74.3,25.700000000000003,42816.5674002829,-19.19205
AUS,Australia,2010,76.0,24.0,52144.6654705468,14.92533
AUS,Australia,2011,79.5,20.5,62605.600458306,-2.493348
AUS,Australia,2012,79.0,21.0,68072.8732340801,-4.606897
AUS,Australia,2013,83.5,16.5,68190.7010035651,16.49662
AUS,Australia,2014,84.0,16.0,62544.0873773726,6.723285
AUS,Australia,2015,84.6,15.400000000000006,56739.0265346593,1.539374
AUS,Australia,2016,86.5,13.5,49888.0410842736,-2.574723
AUS,Australia,2017,86.5,13.5,53901.7145392154,9.436575
AUS,Australia,2018,90.0,10.0,57196.4220783778,4.142107
AUS,Australia,2019,93.6,6.4000000000000057,54972.7017885437,7.163341
